Label,HOA,Precinct,Type,Longitude,Latitude,Status
80,Val de Vie 1,VDV I: Phase 1,Single residential,18.97041229,-33.79436253,Transferred
81,Val de Vie 1,VDV I: Phase 1,Single residential,18.97063601,-33.79404162,Transferred
81,Val de Vie 1,VDV I: Phase 1,Single residential,18.98202818,-33.81735762,Transferred
329,Val de Vie 1,VDV I: Phase 1,Single residential,18.96854604,-33.80276239,Transferred
82,Val de Vie 1,VDV I: Phase 1,Single residential,18.9701336,-33.79484566,Transferred
82,Val de Vie 1,VDV I: Phase 1,Single residential,18.98220189,-33.81749573,Transferred
286,Val de Vie 1,VDV I: Phase 1,Single residential,18.96858791,-33.80114861,Transferred
286,Val de Vie 1,VDV I: Phase 1,Single residential,18.97819694,-33.82128516,Transferred
286,Val de Vie 1,VDV I: Phase 1,Single residential,18.96659587,-33.81001271,Transferred
83,Val de Vie 1,VDV I: Phase 1,Single residential,18.97037517,-33.79481632,Transferred
84,Val de Vie 1,VDV I: Phase 1,Single residential,18.9705578,-33.79501583,Transferred
84,Val de Vie 1,VDV I: Phase 1,Single residential,18.9825688,-33.81771674,Transferred
85,Val de Vie 1,VDV I: Phase 1,Single residential,18.97048625,-33.79519388,Transferred
330,Val de Vie 1,VDV I: Phase 1,Single residential,18.96830221,-33.80288263,Transferred
86,Val de Vie 1,VDV I: Phase 1,Single residential,18.97041627,-33.79542089,Transferred
86,Val de Vie 1,VDV I: Phase 1,Single residential,18.96206115,-33.80995881,Transferred
285,Val de Vie 1,VDV I: Phase 1,Single residential,18.96868853,-33.8008786,Transferred
285,Val de Vie 1,VDV I: Phase 1,Single residential,18.96662877,-33.80989809,Transferred
87,Val de Vie 1,VDV I: Phase 1,Single residential,18.97036245,-33.79559552,Transferred
87,Val de Vie 1,VDV I: Phase 1,Single residential,18.96190426,-33.80992511,Transferred
88,Val de Vie 1,VDV I: Phase 1,Single residential,18.97030864,-33.79577014,Transferred
88,Val de Vie 1,VDV I: Phase 1,Single residential,18.96172608,-33.80988218,Transferred
88,Val de Vie 1,VDV I: Phase 1,Single residential,18.98479861,-33.8174143,Transferred
319,Val de Vie 1,VDV I: Phase 1,Single residential,18.96871796,-33.80209123,Transferred
89,Val de Vie 1,VDV I: Phase 1,Single residential,18.97027507,-33.79595991,Transferred
89,Val de Vie 1,VDV I: Phase 1,Single residential,18.96184139,-33.81023744,Transferred
219,Val de Vie 1,VDV I: Phase 1,Single residential,18.96913968,-33.79848794,Transferred
219,Val de Vie 1,VDV I: Phase 1,Single residential,18.97463223,-33.81858941,Transferred
219,Val de Vie 1,VDV I: Phase 1,Single residential,18.96497757,-33.81080289,Transferred
90,Val de Vie 1,VDV I: Phase 1,Single residential,18.96199828,-33.81027114,Transferred
90,Val de Vie 1,VDV I: Phase 1,Single residential,18.97013229,-33.79607769,Transferred
91,Val de Vie 1,VDV I: Phase 1,Single residential,18.9699087,-33.79610099,Transferred
92,Val de Vie 1,VDV I: Phase 1,Single residential,18.96963903,-33.79617852,Transferred
280,Val de Vie 1,VDV I: Phase 1,Single residential,18.9689754,-33.79986841,Transferred
280,Val de Vie 1,VDV I: Phase 1,Single residential,18.97613473,-33.82170579,Transferred
280,Val de Vie 1,VDV I: Phase 1,Single residential,18.96565944,-33.80974843,Transferred
93,Val de Vie 1,VDV I: Phase 1,Single residential,18.96959,-33.79600592,Transferred
94,Val de Vie 1,VDV I: Phase 1,Single residential,18.96957254,-33.79581576,Transferred
95,Val de Vie 1,VDV I: Phase 1,Single residential,18.96955014,-33.79562645,Transferred
307,Val de Vie 1,VDV I: Phase 1,Single residential,18.96696852,-33.79964547,Transferred
96,Val de Vie 1,VDV I: Phase 1,Single residential,18.96952775,-33.79543714,Transferred
97,Val de Vie 1,VDV I: Phase 1,Single residential,18.96950536,-33.79524783,Transferred
98,Val de Vie 1,VDV I: Phase 1,Single residential,18.9694819,-33.79505841,Transferred
315,Val de Vie 1,VDV I: Phase 1,Single residential,18.96712495,-33.8028516,Transferred
99,Val de Vie 1,VDV I: Phase 1,Single residential,18.96949201,-33.7948757,Transferred
